TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.229115646,0.000366162,0.213315,0.712792,1.24784,0.064913,1.04907,0.0590248,0.263197,0.891335,0.640592,2.89058,0.199799
2.275555556,0.000383946,0.0901,0.539933,0.969563,0.127482,1.25145,0.0262202,0.283794,0.745398,0.865302,3.1561,0.259806
2.321995465,0.127808,0,0.472366,0.449138,0.0941169,1.7243,0.0113964,0.284577,0.859558,0.972277,3.48418,0.0743089
2.368435374,0.146788,0.0992598,0.57516,0.0168114,0,1.5125,0.0456138,0.439026,1.02726,0.92721,3.52794,0.0228743
2.414875283,0.144424,0.0966178,0.912293,0.111906,0,1.42656,0.118374,0.406165,0.995301,0.777537,3.20969,0.0136858
2.461315193,0.162226,0.00182069,0.994442,0.352011,0.0741187,1.56218,0.0615633,0.433009,0.768456,0.788191,3.2153,0.0939485
2.507755102,0.0419562,0.00219861,0.772949,0.389536,0.246627,1.73624,0.057618,0.507447,0.279265,0.947024,3.27184,0.205895
2.554195011,0.0609332,0.380965,0.386129,0.347371,0.5399,1.69121,0.00308265,0.623967,0.0693704,0.915271,3.30037,0.382047
2.600634921,0.0106246,0.355302,0.448656,0.497821,0.720311,1.56147,0,0.80731,0.0848532,1.12507,3.25169,0.444254
2.647074830,4.57831e-05,0.159506,0.494156,0.881555,0.154116,1.32992,0,0.625116,0.114427,1.16435,3.15831,0.346941
2.693514739,0,0.0330752,0.967171,0.609975,0.138523,1.53707,0,0.255085,0.223688,0.688186,3.32724,0.0259211
2.739954649,0,0,1.16527,0.156496,0.262519,1.48131,0.00771534,0.120614,0.0934232,0.504533,3.4687,0
2.786394558,0,0,1.08511,0,0.562311,0.953383,0.0274433,0.0866751,0.265319,0.154868,3.59097,0
2.832834467,0,0.17915,0.842795,0.233624,0.48771,0.473598,0.0145985,0.346054,0.116547,0.0520715,3.50994,0
2.879274376,0.00807119,0.291735,0.854306,0.887128,0.0840938,0.545855,0.109332,0.210312,0.0395657,0,3.2876,0
2.925714286,0.038151,0.174209,0.830343,0.509528,0.386849,0.72848,0.211947,0.279555,0.160842,0,3.26734,0
2.972154195,0.0829116,0.0639204,1.02454,0.073588,0.788549,0.592671,0.0515369,0.315943,0.315111,0,3.40866,0.0861355
3.018594104,0.0498177,0.0022044,1.24316,0.0653494,0.834017,0.819452,0.0534599,0.0978456,0.351122,0.0712544,3.43684,0.263014
3.065034014,0.000284709,0,1.13509,0.132235,0.55957,1.18588,0.110366,0.012391,0.222889,0.354896,3.36038,0.267594
3.111473923,0.000312464,0,0.922261,0.686736,0.286281,1.29019,0.190769,0.147789,0.377785,0.527469,3.02908,0.38383
3.157913832,0.00019397,0,1.35165,0.279782,0.209272,0.933078,0.124452,0.235625,0.47986,0.574406,3.32363,0.289286
3.204353741,0.0737939,0.0056596,1.38213,0,0.176354,0.898609,0.161793,0,0.0280742,0.822033,3.61343,0.184544
3.250793651,0.0281621,0.209739,1.12197,0.32309,0.0173605,1.06612,0.380841,0.00907924,0.0226185,0.942696,3.43719,0
3.297233560,0.0205332,0.23132,0.669339,0.497019,0.162304,0.993186,0.367432,0.0655569,0.0715988,0.854119,3.38781,0
3.343673469,0.0183163,0.26082,0.258439,0.240933,0.453151,0.978467,0.336282,0.0649267,0.207202,0.946594,3.38065,0
3.390113379,0.0790227,0.222545,0.475065,0.241781,1.12547,0.938106,0.055,0.0148429,0.247196,1.07456,3.31757,0.139437
3.436553288,0,0.0012195,0.919188,0.266729,1.12617,0.708028,0,0.0397879,0.185531,0.792214,3.40432,0.398072
3.482993197,0.000440871,0.00329394,1.0137,0.226497,0.542013,1.09241,0,0.0653761,0.0484556,0.934098,3.42589,0.384278
3.529433107,0.000589158,0.00122238,0.971533,0.115602,0.095446,1.33988,0.000582402,0.187375,0.115388,0.588421,3.39051,0.170939
3.575873016,0.0817269,0,0.631363,0.289423,0.410115,1.12922,0.0139706,0.194443,0.16657,0.384811,3.32454,0.0376084
3.622312925,0.184761,0,0.372853,0.487794,0.722639,0.55073,0.0606501,0.151724,0.0260758,0.79334,3.38374,0.0956615
3.668752834,0.0226114,0.031245,0.502233,0.450916,0.0329276,0.527629,0.0825527,0.360793,0.00856915,1.12372,3.40538,0.177049
3.715192744,0,0.352779,0.672605,0.377384,0.0133558,0.890742,0.014016,0.28269,0.0109108,1.17392,3.41233,0.0773021
